Weekday,quarter,StoreLocation,Sales,IsHoliday,IsDayAfterHoliday,IsDisaster,IsDayAfterDisaster,Temperature,PriceOfGas,CurrentCPI,year,month,day
2,1,Provo,1580.918008194875,False,False,False,False,75.74,3.64,204.88,2020,1,1
2,1,Springville,886.5539859888493,False,False,False,False,77.2,3.71,225.04,2020,1,1
2,1,Orem,1530.814583861768,False,False,False,False,29.65,2.53,178.66,2020,1,1
2,1,Lehi,687.2235131963821,False,False,False,False,51.04,2.38,180.15,2020,1,1
3,1,Provo,1735.970051132983,False,False,False,False,81.4,3.81,184.92,2020,1,2
3,1,Springville,0.0,False,False,False,False,-30.92,2.59,168.64,2020,1,2
3,1,Orem,960.2745053024702,False,False,False,False,3.5,2.51,201.32,2020,1,2
3,1,Lehi,1670.7889537591652,False,False,False,False,46.19,2.49,199.86,2020,1,2
4,1,Provo,1589.6275230006231,False,False,False,False,82.46,4.31,180.04,2020,1,3
4,1,Springville,1956.5868966487265,False,False,False,False,112.37,6.9,216.58,2020,1,3
4,1,Orem,698.4294677111712,False,False,False,False,108.56,6.34,181.78,2020,1,3
4,1,Lehi,1229.9344495746918,False,False,False,False,45.16,2.04,200.14,2020,1,3
5,1,Provo,794.4645605389659,False,False,False,False,66.66,2.45,202.86,2020,1,4
5,1,Springville,1101.8985097294226,False,False,False,False,67.97,2.79,214.0,2020,1,4
5,1,Orem,983.7577392796277,False,False,False,False,55.24,2.15,175.34,2020,1,4
5,1,Lehi,895.7278916986307,False,False,False,False,94.79,5.09,183.02,2020,1,4
6,1,Provo,365.9976917954928,False,False,False,False,78.53,3.59,169.6,2020,1,5
6,1,Springville,1639.532639871119,False,False,False,False,31.35,2.31,173.0,2020,1,5
6,1,Orem,1230.8500354395176,False,False,False,False,9.9,2.28,208.51,2020,1,5
6,1,Lehi,1096.3449237706275,False,False,False,False,3.59,2.61,242.21,2020,1,5
0,1,Provo,1330.9528561019379,False,False,False,False,34.97,2.35,203.08,2020,1,6
0,1,Springville,1021.4503435421466,False,False,False,False,37.36,2.23,190.36,2020,1,6
0,1,Orem,1448.0503270747636,False,False,False,False,99.02,5.7,208.71,2020,1,6
0,1,Lehi,864.9902697701849,False,False,False,False,10.31,2.05,204.53,2020,1,6
1,1,Provo,1488.0247896618116,False,False,False,False,-4.41,2.42,163.74,2020,1,7
1,1,Springville,1242.4446619461692,False,False,False,False,69.17,3.0,186.82,2020,1,7
1,1,Orem,875.2656165713257,False,False,False,False,64.79,2.11,154.23,2020,1,7
1,1,Lehi,569.6019422054804,False,False,False,False,41.48,2.3,183.08,2020,1,7
2,1,Provo,0.0,False,False,False,False,95.98,5.21,194.95,2020,1,8
2,1,Springville,1411.4678943878855,False,False,False,False,92.03,4.92,246.62,2020,1,8
2,1,Orem,925.8320902474459,False,False,False,False,65.42,2.18,219.71,2020,1,8
2,1,Lehi,1546.1758998565008,False,False,False,False,71.53,3.07,194.3,2020,1,8
3,1,Provo,1179.718139091441,False,False,False,False,100.7,5.89,216.13,2020,1,9
3,1,Springville,1621.5047246678362,False,False,False,False,-0.55,1.93,152.28,2020,1,9
3,1,Orem,1014.8772464027486,False,False,False,False,100.84,5.84,229.73,2020,1,9
3,1,Lehi,1021.6147534400541,False,False,False,False,53.15,2.41,166.19,2020,1,9
4,1,Provo,406.96267735609484,False,False,False,False,9.95,2.04,187.73,2020,1,10
4,1,Springville,1754.176416293073,False,False,False,False,99.36,5.31,227.37,2020,1,10
4,1,Orem,1766.1556272968087,False,False,False,False,110.69,7.02,175.05,2020,1,10
4,1,Lehi,802.7285946855769,False,False,False,False,96.34,5.69,226.74,2020,1,10
5,1,Provo,1744.2016011509033,False,False,False,False,31.08,2.39,198.75,2020,1,11
5,1,Springville,1805.2560484369678,False,False,False,False,75.97,3.39,196.48,2020,1,11
5,1,Orem,951.6183856845477,False,False,False,False,106.62,6.51,174.56,2020,1,11
5,1,Lehi,1234.6574810906848,False,False,False,False,54.42,2.28,214.14,2020,1,11
6,1,Provo,0.0,False,False,False,False,97.19,5.6,185.78,2020,1,12
6,1,Springville,2127.6259957029756,False,False,False,False,70.44,2.74,185.42,2020,1,12
6,1,Orem,1732.5903004137251,False,False,False,False,65.4,2.33,202.95,2020,1,12
